epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
36,3438.94,1.45484,1.2669,0.01516,0.51777,0.39282,0.4259,0.18815,1.92296,1.44603,0.01456,0.000251597,0.000251597,0.000251597
37,3532.13,1.42886,1.26002,0.01526,0.53376,0.43771,0.46345,0.21724,1.70803,1.31668,0.01247,0.000247786,0.000247786,0.000247786
38,3625.39,1.43938,1.2603,0.01538,0.5067,0.40281,0.41325,0.18317,1.78104,1.39175,0.01347,0.000243974,0.000243974,0.000243974
39,3724.45,1.44137,1.26465,0.01482,0.59053,0.37988,0.42854,0.19248,1.84333,1.40082,0.01403,0.000240163,0.000240163,0.000240163
40,3823.02,1.41381,1.18387,0.01492,0.58953,0.43977,0.47179,0.21961,1.72389,1.29221,0.01204,0.000236351,0.000236351,0.000236351
41,3920.58,1.43391,1.20304,0.01588,0.5183,0.47351,0.4644,0.20845,1.83129,1.39075,0.01326,0.00023254,0.00023254,0.00023254
42,4017.99,1.41005,1.18572,0.01447,0.57886,0.48214,0.47842,0.21762,1.80701,1.33155,0.01334,0.000228729,0.000228729,0.000228729
43,4114.65,1.39737,1.15131,0.01393,0.50269,0.5107,0.48831,0.22885,1.81735,1.32061,0.01413,0.000224917,0.000224917,0.000224917
44,4209.01,1.40333,1.13786,0.01522,0.51047,0.46914,0.4543,0.19434,1.88013,1.3302,0.01472,0.000221106,0.000221106,0.000221106
45,4304.86,1.39873,1.13799,0.0141,0.54561,0.46213,0.47286,0.21911,1.7274,1.25571,0.0125,0.000217294,0.000217294,0.000217294
46,4398.21,1.41058,1.11827,0.01484,0.52313,0.42857,0.46578,0.22329,1.76354,1.2559,0.01326,0.000213482,0.000213482,0.000213482
47,4491.56,1.39237,1.09697,0.01435,0.5407,0.51382,0.49602,0.24638,1.70265,1.22826,0.01189,0.000209671,0.000209671,0.000209671
48,4587.16,1.38192,1.08212,0.01434,0.56472,0.42806,0.44816,0.18746,1.98638,1.36788,0.01593,0.00020586,0.00020586,0.00020586
49,4683.69,1.37612,1.09588,0.01426,0.54908,0.47988,0.48044,0.22865,1.78207,1.279,0.01368,0.000202048,0.000202048,0.000202048
50,4778.51,1.37168,1.07076,0.01416,0.60242,0.43711,0.48414,0.22206,1.86135,1.33612,0.01474,0.000198236,0.000198236,0.000198236
51,4874.31,1.3817,1.06156,0.01321,0.56587,0.46211,0.46139,0.2179,1.82692,1.31445,0.01494,0.000194425,0.000194425,0.000194425
52,4969.34,1.38363,1.09635,0.01395,0.6006,0.49864,0.51931,0.24501,1.79679,1.25561,0.01394,0.000190613,0.000190613,0.000190613
53,5063.05,1.38422,1.06554,0.01384,0.52789,0.45265,0.47711,0.21067,1.86546,1.30189,0.01465,0.000186802,0.000186802,0.000186802
54,5158.11,1.3592,1.04077,0.01346,0.64259,0.4051,0.45811,0.22531,1.80728,1.31922,0.01339,0.00018299,0.00018299,0.00018299
55,5254.92,1.3474,1.01841,0.01296,0.54127,0.48975,0.51511,0.24478,1.74889,1.17975,0.01342,0.000179179,0.000179179,0.000179179
56,5350.59,1.34637,1.02238,0.01373,0.58631,0.41972,0.46848,0.21445,1.79107,1.25471,0.01439,0.000175367,0.000175367,0.000175367
57,5445.38,1.34555,1.01102,0.01325,0.55401,0.41506,0.44893,0.21205,1.7797,1.30344,0.01315,0.000171556,0.000171556,0.000171556
58,5538.33,1.33318,1.00248,0.01367,0.58423,0.47048,0.50138,0.23714,1.79149,1.2242,0.01314,0.000167745,0.000167745,0.000167745
59,5633.08,1.34162,0.99775,0.01302,0.60415,0.43397,0.47046,0.20446,1.9379,1.31417,0.01498,0.000163933,0.000163933,0.000163933
60,5725.68,1.31994,0.97373,0.01285,0.63438,0.47391,0.49842,0.22468,1.85219,1.27942,0.01363,0.000160122,0.000160122,0.000160122
61,5819.82,1.36184,1.00446,0.01392,0.62086,0.48184,0.50801,0.23677,1.76462,1.25696,0.01322,0.00015631,0.00015631,0.00015631
62,5914.13,1.318,0.95457,0.0131,0.6224,0.44281,0.48247,0.21978,1.84185,1.36515,0.01406,0.000152498,0.000152498,0.000152498
63,6009.31,1.27325,0.93731,0.01238,0.64785,0.45681,0.51388,0.23417,1.82521,1.24506,0.01403,0.000148687,0.000148687,0.000148687
64,6104.9,1.32262,0.94288,0.01276,0.694,0.46444,0.51457,0.24191,1.78437,1.21239,0.01384,0.000144875,0.000144875,0.000144875
65,6198.33,1.30004,0.92879,0.01251,0.60357,0.49841,0.51941,0.22917,1.83601,1.26915,0.014,0.000141064,0.000141064,0.000141064
66,6293.43,1.32307,0.92359,0.01324,0.66177,0.48242,0.51477,0.22506,1.89983,1.37146,0.01436,0.000137252,0.000137252,0.000137252
67,6388.06,1.28768,0.91523,0.01215,0.61222,0.47473,0.49998,0.21756,1.87994,1.31565,0.01465,0.000133441,0.000133441,0.000133441
68,6480.36,1.28154,0.93448,0.01238,0.65217,0.49044,0.53793,0.24918,1.7938,1.20618,0.01322,0.000129629,0.000129629,0.000129629
69,6573.85,1.2746,0.90447,0.01219,0.74244,0.5201,0.57667,0.28682,1.65847,1.15337,0.01146,0.000125818,0.000125818,0.000125818
70,6668.55,1.29101,0.91763,0.01133,0.68734,0.48059,0.53438,0.23703,1.85519,1.19024,0.01403,0.000122007,0.000122007,0.000122007
71,6760.81,1.28041,0.88989,0.01208,0.63604,0.52084,0.54818,0.24063,1.88011,1.19584,0.01462,0.000118195,0.000118195,0.000118195
72,6855.55,1.29575,0.90638,0.01179,0.65771,0.46876,0.50962,0.23999,1.80951,1.2007,0.01395,0.000114384,0.000114384,0.000114384
73,6949.34,1.25976,0.84677,0.01142,0.62775,0.49424,0.51043,0.24233,1.79726,1.18034,0.01349,0.000110572,0.000110572,0.000110572
74,7044.48,1.27295,0.87879,0.01235,0.63318,0.46158,0.49946,0.21417,1.89424,1.21523,0.01492,0.000106761,0.000106761,0.000106761
75,7140.8,1.26478,0.86231,0.01209,0.50962,0.4831,0.49196,0.21932,1.8624,1.18201,0.0143,0.000102949,0.000102949,0.000102949
76,7239.75,1.27401,0.86239,0.01218,0.64118,0.46232,0.5207,0.2357,1.84938,1.14555,0.01378,9.91375e-05,9.91375e-05,9.91375e-05
77,7340.02,1.25838,0.83971,0.01131,0.65891,0.54008,0.57634,0.27863,1.73817,1.11915,0.0125,9.5326e-05,9.5326e-05,9.5326e-05
78,7437.56,1.28681,0.87852,0.01252,0.63165,0.52932,0.54298,0.24593,1.79394,1.16185,0.01335,9.15145e-05,9.15145e-05,9.15145e-05
79,7537.54,1.26578,0.84488,0.01175,0.57159,0.50686,0.50572,0.20943,1.92059,1.25784,0.0151,8.7703e-05,8.7703e-05,8.7703e-05
80,7636.14,1.25108,0.83661,0.0116,0.7247,0.43213,0.52282,0.20655,1.95696,1.21289,0.01505,8.38915e-05,8.38915e-05,8.38915e-05
81,7733.74,1.24981,0.84031,0.01123,0.6094,0.49769,0.53176,0.2536,1.81723,1.17754,0.01344,8.008e-05,8.008e-05,8.008e-05
82,7834.83,1.23704,0.82825,0.01153,0.64435,0.51089,0.55485,0.25369,1.87458,1.15681,0.01353,7.62685e-05,7.62685e-05,7.62685e-05
83,7933.86,1.24212,0.82174,0.01076,0.64309,0.50471,0.54642,0.25058,1.85079,1.22921,0.0139,7.2457e-05,7.2457e-05,7.2457e-05
84,8033.97,1.19698,0.79909,0.01104,0.62926,0.46293,0.50814,0.23447,1.89296,1.25347,0.01455,6.86455e-05,6.86455e-05,6.86455e-05
85,8132.52,1.22226,0.80618,0.01114,0.5863,0.47803,0.5265,0.23891,1.8439,1.20362,0.01384,6.4834e-05,6.4834e-05,6.4834e-05
86,8227.01,1.23248,0.80662,0.01117,0.64806,0.48658,0.52499,0.22541,1.9208,1.23254,0.01441,6.10225e-05,6.10225e-05,6.10225e-05
87,8322.03,1.23058,0.81352,0.01127,0.66361,0.49043,0.52916,0.22813,1.89828,1.25424,0.01453,5.7211e-05,5.7211e-05,5.7211e-05
88,8415.55,1.23574,0.80581,0.01104,0.6794,0.52307,0.55223,0.24559,1.87258,1.17824,0.01404,5.33995e-05,5.33995e-05,5.33995e-05
89,8508.67,1.21772,0.80401,0.01142,0.65063,0.52827,0.55797,0.25782,1.84336,1.14615,0.01387,4.9588e-05,4.9588e-05,4.9588e-05
90,8602.63,1.19047,0.74762,0.01101,0.65185,0.56047,0.56282,0.25182,1.83799,1.1628,0.01421,4.57765e-05,4.57765e-05,4.57765e-05
91,8696.94,1.08003,0.64082,0.01173,0.64842,0.51027,0.52566,0.22497,1.94522,1.24553,0.0144,4.1965e-05,4.1965e-05,4.1965e-05
92,8791.68,1.08183,0.62026,0.01149,0.61454,0.49221,0.51022,0.21608,1.98809,1.27433,0.01549,3.81535e-05,3.81535e-05,3.81535e-05
93,8885.88,1.07588,0.62328,0.01163,0.67125,0.50529,0.54207,0.24143,1.92614,1.20649,0.01459,3.4342e-05,3.4342e-05,3.4342e-05
94,8979.3,1.05565,0.61287,0.01075,0.68075,0.52264,0.54591,0.2391,1.95739,1.22945,0.01509,3.05305e-05,3.05305e-05,3.05305e-05
