split,class_id,class_name,precision,recall,f1,map50_95
val,0,battery,0.676040070128874,0.5,0.5748444184004644,0.3191095811818703
val,1,button,0.8929252432846718,0.2727272727272727,0.4178347543632285,0.33796153846153854
val,2,buzzer,1.0,0.8527418373769444,0.9205187902317037,0.3198173913043479
val,3,capacitor,0.8446008900730164,0.6536939313984169,0.7369850958334355,0.37516230696933417
val,4,clock,0.6259811155598854,0.35294117647058826,0.45138314485783426,0.24404923921463323
val,5,connector,0.7536787508519747,0.3346705527599045,0.4635167832862876,0.20538446166163465
val,6,diode,0.6259715417876838,0.5048543689320388,0.5589268245498555,0.253633150080267
val,7,display,0.598730409987502,0.5555555555555556,0.576335527725351,0.22091148310861994
val,8,fuse,0.7782855621478425,0.7982954040618936,0.7881635014331344,0.34981570993011574
val,9,heatsink,,,,
val,10,ic,0.7787463532882022,0.8362413399234354,0.8064704104824104,0.5141497613665067
val,11,inductor,0.8138546629514571,0.14545454545454545,0.24680021629807122,0.12815259230555068
val,12,led,0.5598844389458583,0.6371681415929203,0.5960315081721187,0.2421412713859062
val,13,pads,1.0,0.0,0.0,0.013370660221526776
val,14,pins,0.39285456513042144,0.14285714285714285,0.20952344291202282,0.10643603982119051
val,15,potentiometer,0.8555800675655909,0.47368421052631576,0.6097730534497035,0.23689444444444446
val,16,relay,0.7860131050462597,1.0,0.8801873881277047,0.7003222222222223
val,17,resistor,0.842695777232397,0.4461463470987593,0.5834161308513885,0.30654223183296503
val,18,switch,0.8568226247137607,0.7708333333333334,0.811556565892427,0.31742483310953806
val,19,transducer,,,,
val,20,transformer,,,,
val,21,transistor,0.7293290126765327,0.6448598130841121,0.6844983192627532,0.2700325609868124
test,0,battery,0.7613474024027135,0.75,0.7556311022790029,0.286125
test,1,button,0.878851897040875,0.3333333333333333,0.4833430155827304,0.36766204624868226
test,2,buzzer,0.666584799710818,0.875,0.7567040098687771,0.22018130630630633
test,3,capacitor,0.8224688295920931,0.7276671269423421,0.772169083242105,0.49198336311047486
test,4,clock,0.3730865945855673,0.4841171621439341,0.4214111802165254,0.16756321657546383
test,5,connector,0.5529444891581761,0.38596491228070173,0.45460652737521046,0.2065254675353852
test,6,diode,0.3990035537456385,0.3956043956043956,0.39729670424934443,0.1677644851914511
test,7,display,0.6710632465998719,0.7142857142857143,0.6920002164971735,0.3056520202020202
test,8,fuse,0.5246233109245793,0.4,0.4539131165966222,0.2024182487991475
test,9,heatsink,,,,
test,10,ic,0.7735027342913701,0.8404669260700389,0.8055956457707676,0.5347184384973785
test,11,inductor,0.3726531499567315,0.15637957751592488,0.2203090248446842,0.101395331797388
test,12,led,0.5042884847399214,0.6017699115044248,0.5487334807367666,0.1756973396559555
test,13,pads,1.0,0.0,0.0,0.0019614263211521457
test,14,pins,0.4842945643329728,0.21428571428571427,0.2971094656378804,0.04520150207987585
test,15,potentiometer,0.6678607779040807,0.5833333333333334,0.6227418276323019,0.32162841291410105
test,16,relay,0.895549115417666,0.9,0.8977690411865071,0.44875
test,17,resistor,0.7818948380650341,0.689412469638895,0.732747059007732,0.45565670111244766
test,18,switch,0.7650012276836933,0.7370805909074758,0.7507814154556549,0.42283848689833237
test,19,transducer,0.0,0.0,0.0,0.0
test,20,transformer,,,,
test,21,transistor,0.5141956734292664,0.42615708222321,0.4660551618809682,0.15894230906668722
